IR F19 64162982
2020-02-08 15:16:59,553 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/biblio, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,584 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/publications, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,611 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about-isr, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,635 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/isr-events/talks, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,658 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/happenings/news, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,681 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/content/software-engineering-ics-%E2%80%93-50-year-history-0, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,702 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/isr-events/supported, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,723 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/people/faculty, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,745 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/isr-events/symposia, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,766 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~softtest/taos.html, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,788 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~softtest/prodag.html, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,809 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/pub/arch, status <601>, using cache ('styx.ics.uci.edu', 9009).
